"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"Tsunami ID = 1902"																																	
		"n"	"PAPUA NEW GUINEA"		"LOMBRUM, ADMIRALTY ISLANDS"	-2.05	147.4	13905.17893799768									1.2		1														
		"n"	"USA"	"AK"	"UNALASKA, DUTCH HARBOR, AK"	53.883	-166.533	13505.001953515566	23	14	50	19	39				0.7		2	33	"R"												
		"n"	"USA"	"AK"	"JUNEAU, AK"	58.3	-134.42	12090.608868846382									0.05		2														
		"n"	"USA"	"AK"	"KAKE, AK"	56.97	-133.92	11966.928939083795	23	14	0	18	49						2														
		"n"	"USA"	"AK"	"KETCHIKAN, AK"	55.333	-131.633	11737.632833957501	23								0.05		2														
		"n"	"USA"	"AK"	"ATTU, MASSACRE BAY, AK"	52.83	173.2	14766.413071527375	23	15	30	20	19				1.68		2	45	"R"												
		"n"	"USA"	"AK"	"SEWARD, AK"	60.119	-149.427	12892.583771320655	23	14	40	19	29				0.7		2	48	"R"												
		"n"	"USA"	"AK"	"SITKA, AK"	57.052	-135.342	12036.014597189316	23	13	33	18	22				0.46		2	27	"R"												
		"n"	"USA"	"AK"	"SKAGWAY, AK"	59.44	-135.33	12215.322851365114	23	15	0	19	49				0.18		2	80	"R"												
		"n"	"USA"	"AK"	"ADAK, SWEEPER COVE, AK"	51.863	-176.632	14068.045633210299	23	14	40	19	29				1.1		2	50	"R"												
		"n"	"USA"	"AK"	"KODIAK ISLAND, WOMENS BAY, AK"	57.730313	-152.513871	12908.020426181092	23	14	25	19	14				0.7		2	70	"R"												
		"n"	"USA TERRITORY"	"AS"	"PAGO PAGO, AMERICAN SAMOA"	-14.2766	-170.689	9665.39792282556	23	7	33	12	22				0.8		2	18	"R"												
		"n"	"AUSTRALIA"		"BALLINA"	-28.87	153.58	11127.892088474564	23	12	5	16	54				0.18		2	38	"F"												
		"n"	"AUSTRALIA"		"BRISBANE (CAIRNCROSS)"	-27.36666	153.16666	11286.959416708416									0.11		2		"R"												
		"n"	"AUSTRALIA"		"CAIRNS"	-16.91666	145.78333	12671.261047332726	23	15	0	19	49				0.15		2	25	"F"												
		"n"	"AUSTRALIA"		"COFFS HARBOUR"	-30.3	153.15	11022.990667177197									0.5		2		"F"												
		"n"	"AUSTRALIA"		"EDEN (TWOFOLD BAY)"	-37.07366	149.907739	10568.230411331637	23	12	10	16	59				0.9		2	32	"R"												
		"n"	"AUSTRALIA"		"FREMANTLE"	-32.055833	115.73944	12175.223427836354									0.15		2		"R"												
		"n"	"AUSTRALIA"		"FORT DENISON, SYDNEY HARBOR"	-33.85	151.233	10801.298950879085									0.41		2		"F"												
		"n"	"AUSTRALIA"		"HOBART, TASMANIA"	-42.88	147.33	10136.234425511899	23	12	0	16	49				0.15		2	15	"R"												
		"n"	"AUSTRALIA"		"ILUKA"	-29.42	153.37	11090.208140164714	23	12	33	17	22				0.32		2	12	"R"												
		"n"	"AUSTRALIA"		"LORD HOWE I."	-31.517	159.067	10574.820942314049	23	10	45	15	34				0.7		2	22	"R"												
		"n"	"AUSTRALIA"		"NEWCASTLE"	-32.933	151.783	10857.00337522914	23	12	0	16	49				0.55		2		"F"												
		"n"	"AUSTRALIA"		"NORFOLK ISLAND"	-29.058333	167.953611	10216.036593353918	23	9	0	13	49				0.2		2	60	"R"												
		"n"	"AUSTRALIA"		"PT. MACDONNELL"	-38.07	140.7	10873.8461756564									0.12		2		"R"												
		"n"	"AUSTRALIA"		"TOWNSVILLE, QUEENSLAND"	-19.25	146.83333	12394.071212989675	23	16	5	20	54				0.15		2	80	"R"												
		"n"	"AUSTRALIA"		"URANGAN JETTY, QUEENSLAND"	-25.28	152.97	11486.240101974057									0.09		2		"R"												
		"n"	"USA"	"CA"	"ALAMEDA, CA"	37.77166	-122.29833	9786.768808479748	23	10	50	15	39				0.31		2	100	"R"												
		"n"	"USA"	"CA"	"ALAMITOS BAY, CA"	33.75	-118.12	9204.426506612484	23	9	34	14	23				0.61		2	36	"R"												
		"n"	"USA"	"CA"	"AVALON, CATALINA IS, CA"	33.345	-118.325	9177.907200731534									0.61		1														
		"n"	"USA"	"CA"	"AVILA BEACH, CA"	35.179	-120.735	9471.723908003323									0.99		1														
		"n"	"USA"	"CA"	"BERKELEY, CA"	37.87	-122.27	9794.059976042601											1														
		"n"	"USA"	"CA"	"BODEGA BAY, CA"	38.27	-123	9867.945242588705									0.3		2														
		"n"	"USA"	"CA"	"CAMBRIA, CA"	35.5	-121.12	9521.071781313438											1														
		"n"	"USA"	"CA"	"CAPITOLA, CA"	36.97	-121.95	9696.848525047068											1														
		"n"	"USA"	"CA"	"CRESCENT CITY, CA"	41.7456	-124.184	10236.128748786236	23	10	40	15	29				1.68		2	84	"R"					3	1	0.03	1				
		"n"	"USA"	"OR"	"DEPOE BAY, OR"	44.808	-124.063	10499.228230344157									0.9		1														
		"n"	"USA"	"CA"	"GUALALA RIVER, CA"	38.77	-123.48	9937.463807989781									0.61		1														
		"n"	"USA"	"CA"	"HUMBOLDT BAY, CA"	40.77	-124.22	10152.265366572636											1														
		"n"	"USA"	"CA"	"LA JOLLA, CA"	32.867	-117.257	9078.342381113906	23	8	50	13	39				0.52		2	21	"R"												
		"n"	"USA"	"CA"	"LONG BEACH, CA"	33.75	-118.22	9209.615331533998	23	9	27	14	16				0.88		2	40	"R"								1				
		"n"	"USA"	"CA"	"LOS ANGELES, CA"	33.719	-118.272	9209.470465996015	23	9	18	14	7				0.76		2	46	"R"												
		"n"	"USA"	"CA"	"MONTEREY, CA"	36.605	-121.888	9660.924250565624									1.1		1														
		"n"	"USA"	"CA"	"MORRO BAY, CA"	35.3377523	-120.8512	9492.199324364215											1			1	1										
